Трекер,Тема,Описание,Требования,Исполнитель,Критерий готовности
Фича,Создать окно Pygame и главный класс AlienInvasion,Добавить инициализацию Pygame и игровой цикл с ограничением 60 FPS,FR-01;NFR-01,Тоц Леонид Александрович,Окно открывается и закрывается без ошибки
Фича,Создать Settings и начальные параметры,Хранить размеры экрана цвета скорости шаг флота лимит пуль и цену цели,FR-02;FR-06;FR-08,Тоц Леонид Александрович,Стартовые параметры читаются из одного класса
Фича,Создать Ship и отрисовать корабль,Загрузить изображение разместить корабль по центру нижней части поля,FR-02;FR-03,Тоц Леонид Александрович,Корабль виден при начале партии
Фича,Реализовать удержание клавиш движения,Обрабатывать KEYDOWN и KEYUP для стрелок с ограничением границ и компенсацией двух направлений,FR-03;FR-04,Тоц Леонид Александрович,Корабль движется непрерывно и остаётся в поле
Фича,Создать Bullet и обработать выстрел,Создавать пулю по Space у верхнего центра корабля и двигать её вверх,FR-05,Тоц Леонид Александрович,Пуля появляется и движется вертикально
Фича,Ограничить число и срок жизни пуль,Разрешать не более трёх пуль удалять пулю после выхода за верхний край,FR-06,Тоц Леонид Александрович,Четвёртый выстрел блокируется до освобождения слота
Фича,Создать Alien и построить флот,Загрузить спрайт и разместить несколько строк и столбцов в верхней зоне,FR-07,Тоц Леонид Александрович,Флот виден и не пересекается с кораблём и HUD
Фича,Реализовать движение и разворот флота,Двигать флот синхронно при крае опускать на 10 пикселей и разворачивать,FR-08,Тоц Леонид Александрович,Все пришельцы одновременно меняют направление
Фича,Реализовать попадания пуль в пришельцев,Обнаруживать коллизии и удалять пулю и цель после попадания,FR-09,Тоц Леонид Александрович,После попадания исчезают пуля и пришелец
Фича,Реализовать счёт и рекорд партии,Начислять очки по текущей цене цели хранить максимум до закрытия приложения,FR-09;FR-14,Тоц Леонид Александрович,Счёт и рекорд обновляются после попадания
Фича,Реализовать следующий уровень,После очистки флота удалять пули увеличивать номер уровня скорости и цену цели,FR-10,Тоц Леонид Александрович,Новый флот появляется с повышенной сложностью
Фича,Реализовать потерю жизни и восстановление,Обрабатывать контакт с кораблём и нижним краем снимать одну жизнь и восстанавливать поле без блокировки цикла,FR-11;NFR-02,Тоц Леонид Александрович,Одна угроза снимает одну жизнь и игра продолжается
Фича,Реализовать Game Over и повторный запуск,Останавливать игру после третьей потери показывать Play и сбрасывать новую партию кроме рекорда,FR-02;FR-12;FR-14,Тоц Леонид Александрович,После Game Over новая партия начинается с нулевым счётом
Фича,Создать HUD и экраны состояний,Отображать счёт рекорд уровень жизни стартовый экран восстановление и Game Over,FR-01;FR-13;UI-03;UI-04;UI-05,Тоц Леонид Александрович,Все показатели и состояния видны и обновляются
Фича,Добавить управление Play и выходом,Обрабатывать щелчок по кнопке Play клавишу Esc и закрытие окна,FR-02;FR-15;UI-02,Тоц Леонид Александрович,Play запускает партию а Esc и закрытие завершают процесс
Фича,Проверить ресурсы и офлайн запуск,Обработать отсутствие графического файла и проверить запуск без сети,NFR-04;NFR-05,Тоц Леонид Александрович,При отсутствии ресурса выводится понятная ошибка и сеть не требуется
